Alphabets,Colors,Digits,Arithmetic,Shapes,Objects,Emotions,Sound,Communication,Actions,Recommended Lessons
0.54,10,0,4,9,2,6.22,7.63,6,7.63,Alphabets Digits Arithmetic Objects
0,4.12,9,5.78,0,8.04,7.94,5.97,6.66,9,Alphabets Colors Arithmetic Shapes Sound
0,1.44,3.75,1.77,3.8,0,0.89,1.88,7,0,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Actions
1,7.59,1,4.75,6.38,4,9.21,0,5.27,2.83,Alphabets Digits Arithmetic Objects Sound Communication Actions
0,3.74,7,8,0,3.8,5,0,0,5.26,Alphabets Colors Shapes Objects Emotions Sound Communication Actions
5,6,1.44,2,1.12,0.93,4,3,5.49,0.06,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
0,4.34,6,5.42,3,10,7.95,8.78,5.55,2.61,Alphabets Colors Arithmetic Shapes Communication Actions
5,6.67,8,2.38,2,5,0,1.35,9.28,2.71,Alphabets Arithmetic Shapes Objects Emotions Sound Actions
6.38,9.7,5,0.93,0,8.65,6.68,0,0,3, Digits Arithmetic Shapes Sound Communication Actions
6.03,0,8.06,9,0,0.65,0,3.24,0,10, Colors Shapes Objects Emotions Sound Communication
7.98,3.74,1.74,7.96,0.87,7.99,4.19,10,8.54,10, Colors Digits Shapes Emotions
8,0,0,2.61,3.31,7.46,0,6.8,6.5,5.51, Colors Digits Arithmetic Shapes Emotions Actions
9,1.2,0,8,5,0.62,1.35,8.75,0.78,7.57, Colors Digits Shapes Objects Emotions Communication
8.74,0.91,4.62,8,5.25,6.66,4,2,5.86,6.24, Colors Digits Shapes Emotions Sound Communication
3.63,8.06,8,0,9,5.66,0,4.97,8,10,Alphabets Arithmetic Objects Emotions Sound
1.52,6,5,0,6.91,7.6,9.11,7.66,10,5.47,Alphabets Digits Arithmetic Actions
10,8.12,3.83,6.2,2.21,1,1,3.46,2,5.99, Digits Shapes Objects Emotions Sound Communication Actions
4.79,9,0.87,4.05,3.74,0,0,8.9,9,4,Alphabets Digits Arithmetic Shapes Objects Emotions Actions
6,6.89,5.48,2,1,0,0.03,0,2.46,4.04, Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
0,0.31,7,0,0,0,0,6,5.54,5.81,Alphabets Colors Arithmetic Shapes Objects Emotions Communication Actions
4.57,0.86,8.49,0,5.71,3,7.01,6.68,1.62,3.79,Alphabets Colors Arithmetic Shapes Objects Communication Actions
4.61,1.13,3.68,7.79,2,7.47,3.72,0.11,3,8.43,Alphabets Colors Digits Shapes Emotions Sound Communication
7,0,5.22,0.97,8.14,5,2.25,3,8.76,0.41, Colors Digits Arithmetic Objects Emotions Sound Actions
6,1.11,0,8.17,8.9,9,10,3,7.14,0, Colors Digits Sound Actions
0,0,7.96,7.82,5.13,10,7.28,5.87,1,7.94,Alphabets Colors Shapes Sound Communication
1.41,1,3.5,0,0.37,4.92,0.81,8,1.57,0,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Communication Actions
0,2,2,0.1,4.01,7,5,4.53,6,0.77,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Actions
5,2,6.92,4.35,3.43,2.86,6.22,3.48,4.2,6.09,Alphabets Colors Arithmetic Shapes Objects Sound Communication
2.83,2.98,1.19,1.63,4,10,7.91,0,0,9,Alphabets Colors Digits Arithmetic Shapes Sound Communication
0,0,0,3.6,8,5.68,9,3.15,7.13,5.63,Alphabets Colors Digits Arithmetic Objects Sound Actions
1.89,0,2.83,4,0.97,2.94,5,2.47,1.24,7,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication
4,1.29,0,7.09,1,8.16,6.89,2,6.89,0,Alphabets Colors Digits Shapes Sound Actions
0,0.46,6.5,6.8,1.12,6.64,2.59,0,0,2.79,Alphabets Colors Shapes Emotions Sound Communication Actions
0.28,4,0,6.56,5,3.01,4.13,0,8.62,8.55,Alphabets Colors Digits Shapes Objects Emotions Sound
0,4.52,5.94,0,3.05,7.82,4.97,7.98,0,2.07,Alphabets Colors Digits Arithmetic Shapes Emotions Communication Actions
8.39,5.27,5.46,9,7,7.88,5,9.74,0,8.9, Colors Digits Emotions Communication
7,4,7.78,6.39,0.28,5.94,4,2.04,3.91,6.77, Colors Shapes Objects Emotions Sound Communication
3.96,4,1.43,7,7.95,5.83,4.66,7,7,0,Alphabets Colors Digits Objects Emotions Actions
4.88,2,2,9,0,6.42,8,3.46,5.98,9.61,Alphabets Colors Digits Shapes Sound Communication
0,10,4.59,4,5,0,0,3.06,5.01,3,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
8.76,8.7,7.65,6,3.27,2.63,1,0,6,5.42, Shapes Objects Emotions Sound Actions
7,1,0,6.99,3.3,0,8.96,5,7.08,5, Colors Digits Shapes Objects Sound Actions
6.39,0.08,7.93,3.95,10,0.5,3,3,9.14,2.04, Colors Arithmetic Objects Emotions Sound Actions
6.59,1,3.95,7.03,10,5,1,8,9.83,0.94, Colors Digits Objects Emotions Actions
0,4,8.91,0,4.73,2,2.2,5,5.57,0,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication Actions
1.53,7.93,6.55,5,7.17,2.05,7.66,1,4.26,2.46,Alphabets Arithmetic Objects Sound Communication Actions
0,5.75,8.04,3.69,0,8,1.7,2.1,3.9,1.94,Alphabets Colors Arithmetic Shapes Emotions Sound Communication Actions
0,2.7,0,0,2,1.36,8,0,6.37,3.1,Alphabets Colors Digits Arithmetic Shapes Objects Sound Actions
8.5,0,9.07,8.74,6.68,0,5.81,7,0.97,2.35, Colors Objects Emotions Communication Actions
7.39,6.96,4.86,6,8.57,9,5.67,2,0,5, Digits Emotions Sound Communication Actions
8.6,6.02,0,1,10,10,9,3,4.72,4.15, Digits Arithmetic Sound Communication Actions
10,6,0,5,7.73,4.25,4.06,1.46,7.12,0, Digits Arithmetic Objects Emotions Sound Actions
9.06,0,3.86,4,7,0,7,1.85,5,1, Colors Digits Arithmetic Objects Sound Communication Actions
1.66,4.19,4.1,5.25,4.12,6,9,5.98,0,6,Alphabets Colors Digits Arithmetic Shapes Sound Communication
10,1.61,3.7,4,2.47,9.38,3.16,8.27,7.36,7.31, Colors Digits Arithmetic Shapes Emotions
6.05,4.02,3.91,3.29,4.71,5.2,8.37,1.22,0,4.23, Colors Digits Arithmetic Shapes Objects Sound Communication Actions
4,3,2,1,3.85,5,8.41,0,0,0.4,Alphabets Colors Digits Arithmetic Shapes Objects Sound Communication Actions
3.42,1,10,4,0,7.42,3.13,10,5.92,0.53,Alphabets Colors Arithmetic Shapes Emotions Communication Actions
6.03,0,6.37,1,0,3.62,0,0.49,8.39,10, Colors Arithmetic Shapes Objects Emotions Sound
0,6,5.69,5.87,2.35,0,0,2,8.96,5.4,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Actions
2,0,5,2,7.83,5,5.89,0,3.63,0.15,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication Actions
6.95,0,8.75,1.83,0,8.2,4.39,3,3.37,1.66, Colors Arithmetic Shapes Emotions Sound Communication Actions
8.78,2.85,4.92,8.93,10,10,4.47,7,7.78,0.23, Colors Digits Emotions Actions
0.61,10,0.99,0,9.47,0,8.99,1.06,3.15,8,Alphabets Digits Arithmetic Objects Sound Communication
4.48,9,1,8.52,3.01,0,6,6.74,2.86,7,Alphabets Digits Shapes Objects Communication
2.07,5.99,10,1.59,7.1,0.85,2,0,5.34,1.11,Alphabets Colors Arithmetic Objects Emotions Sound Communication Actions
0,6.38,2.99,10,2.49,7.74,4.89,4.65,3,10,Alphabets Digits Shapes Emotions Sound Communication
1.08,6.64,3,0.07,0.59,4,2.76,7,1.16,4.96,Alphabets Digits Arithmetic Shapes Objects Emotions Communication Actions
1.89,4.09,1.5,0.67,3,7.24,6,4,0.92,0.55,Alphabets Colors Digits Arithmetic Shapes Sound Communication Actions
0,0,2,4,6.47,1.79,0,5.17,0,7,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication
6.2,0.57,4.3,10,1,0,1,4,6.15,0, Colors Digits Shapes Objects Emotions Sound Actions
0,4.86,4.85,7.49,3.17,3,2.66,0.62,5,4.43,Alphabets Colors Digits Shapes Objects Emotions Sound Communication Actions
0,0,1.09,5.75,0.55,5.55,6.9,8.75,0,8.97,Alphabets Colors Digits Arithmetic Shapes Objects Communication
3.98,10,5.43,0,5.6,1.23,0,6.94,0.44,5.85,Alphabets Digits Arithmetic Shapes Objects Emotions Communication Actions
2.43,0.22,4.46,3.32,6.21,1.98,7,0,0,7.27,Alphabets Colors Digits Arithmetic Objects Sound Communication
0.31,7.3,0,1.96,2.57,0,8,1,0,3.98,Alphabets Digits Arithmetic Shapes Objects Sound Communication Actions
5.73,2.62,8.6,7.23,5,7,3.12,4,4.93,6.62,Alphabets Colors Shapes Emotions Sound Communication
4.76,4,6,10,3.93,7.86,4.06,1.77,7,4.12,Alphabets Colors Shapes Emotions Sound Actions
6.1,5,9,2.31,2.98,4.16,5,0,1.49,0, Colors Arithmetic Shapes Objects Emotions Sound Communication Actions
10,1.43,0,6.79,4.33,1.24,0,5.18,10,6, Colors Digits Shapes Objects Emotions Sound
6.42,3.18,0,1.16,4.2,9.71,3,3,10,10, Colors Digits Arithmetic Shapes Emotions Sound
0,8.05,1.49,2.95,7,9,7.27,0.22,10,1.71,Alphabets Digits Arithmetic Sound Actions
4.63,1.28,1.65,0,1,0,5.41,2.9,10,5.09,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Actions
2.22,3.78,7.63,0,2.32,3.84,10,3.93,7.75,1.68,Alphabets Colors Arithmetic Shapes Objects Sound Actions
3.47,7.01,5,2.43,10,6,7.83,5,5,9,Alphabets Digits Arithmetic Sound Communication
9,6.82,6,4.83,1.99,1.95,6.97,1.04,4.09,6.02, Arithmetic Shapes Objects Sound Communication
2.48,3.77,7.86,6.39,10,4,4.5,7.28,5.38,0,Alphabets Colors Objects Emotions Communication Actions
7,0.54,1,0.3,10,0.41,8,4,4,0, Colors Digits Arithmetic Objects Sound Communication Actions
7,0.88,1.31,3.24,1.15,5,0.22,7.11,0,8.79, Colors Digits Arithmetic Shapes Objects Emotions Communication
4.86,8.12,5.84,2.65,2.9,8,1.02,4.06,4.87,5,Alphabets Digits Arithmetic Shapes Emotions Sound Communication Actions
9,3.02,3.34,7.98,2.58,3,2,5.39,8,4.83, Colors Digits Shapes Objects Emotions Sound Actions
0,7,0.67,6,5,0,5.61,4.86,1.69,8.83,Alphabets Digits Shapes Objects Emotions Sound Communication
1,4.89,0,3,5.22,4.76,4,0,1,4.7,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
4.25,6.46,0.38,2.93,3.77,10,3.8,8.15,4.41,10,Alphabets Digits Arithmetic Shapes Emotions Communication
3.5,4.2,6.04,5.76,0,2.97,0,0,8.66,4.4,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Actions
10,6,8,7.36,1,2.77,8,0,3.58,0, Shapes Objects Sound Communication Actions
4,0.6,0,4,8.18,0,4.33,0,0,2.15,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication Actions
5,2.97,5,0,4,7.99,5,6.54,8.7,9.27,Alphabets Colors Digits Arithmetic Shapes Emotions
7.03,0.02,1.85,4,10,8,3.72,0,1.27,8, Colors Digits Arithmetic Emotions Sound Communication
9,0.76,3,0.47,0.05,9,1.07,9,6.99,5.04, Colors Digits Arithmetic Shapes Emotions Actions
3.34,1.71,1,0,4,9,8.93,1.3,6,0,Alphabets Colors Digits Arithmetic Shapes Sound Actions
0.84,2.75,4.93,7.66,2.27,1,0,6.71,5,4.52,Alphabets Colors Digits Shapes Objects Emotions Communication Actions
2.24,5,3.96,1.92,8.99,1.43,6,6,4.67,0,Alphabets Colors Digits Arithmetic Objects Communication Actions
2.15,0.2,0,0,7,0,6.46,2.1,8.94,0,Alphabets Colors Digits Arithmetic Objects Sound Actions
3.69,0.1,0,3.74,8,0.28,1,3.81,2,9,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication
0.74,3.02,1.22,3.54,0,9,3,8,7.13,2.32,Alphabets Colors Digits Arithmetic Shapes Emotions Actions
0.47,0,2.95,4,7.38,8.34,6.69,0,0,8.29,Alphabets Colors Digits Arithmetic Sound Communication
4,0,1.79,2.97,2.1,4.75,1,0,9,9,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound
2.94,7.37,1,9,5,2.4,0.06,6.54,1.35,3.8,Alphabets Digits Shapes Objects Emotions Communication Actions
5,0,0,3.99,2,3.09,6,5.67,6.37,4.23,Alphabets Colors Digits Arithmetic Shapes Objects Sound Actions
2,2.12,9.15,6.32,5.57,0,4.29,0,5.05,8.6,Alphabets Colors Shapes Objects Emotions Sound Communication
7.84,3.09,1.39,7.54,7.59,5,3.11,0,8.53,7, Colors Digits Objects Emotions Sound
0,8.77,5.87,2.47,5.11,9.97,0.83,2.69,1.19,7,Alphabets Digits Arithmetic Shapes Emotions Sound Communication
0,2,7.61,5,4.19,0.16,0,9,1,0,Alphabets Colors Arithmetic Shapes Objects Emotions Communication Actions
5.08,2,7,1.07,1.78,4,0,3.72,4.66,0.19,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication Actions
6,1,2,3.16,0.08,2,0,0,8.75,7.2, Colors Digits Arithmetic Shapes Objects Emotions Sound
10,3.34,2,7.72,4.4,4.93,9,4.69,7,4.5, Colors Digits Shapes Objects Sound Actions
0,0,4.53,5.45,6.77,9.84,5.83,1.53,6.44,0,Alphabets Colors Digits Arithmetic Emotions Sound Actions
6.23,7.38,8,8.25,9.78,0,9,0.72,7.01,7.23, Objects Sound
0,4,5.01,3,0,5,2,2.53,0.53,0,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
6,3.39,0,1,1.89,1,0,0,5,5.67, Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
7,3.57,7.24,0.34,2.55,4.82,9,2.77,3,6.51, Colors Arithmetic Shapes Objects Sound Communication
4,2,9.3,7.25,2.52,5.12,6.68,5.38,0,2.01,Alphabets Colors Shapes Objects Sound Communication Actions
1,9,5.82,1,5,0,9.42,0.76,9,6.47,Alphabets Digits Arithmetic Shapes Objects Sound
0,1.02,6.2,4.87,0.2,4,0,4,0,7,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication
7.08,0,6,4.57,5.95,1.53,4,0.29,0,7.97, Colors Arithmetic Shapes Objects Emotions Sound Communication
3,5.86,0.3,8.17,5.76,8,4,3,5.99,0,Alphabets Colors Digits Shapes Emotions Sound Communication Actions
3.2,2.63,4,5,1.72,0.23,6.72,6.81,0,0,Alphabets Colors Digits Arithmetic Shapes Objects Communication Actions
4.47,5,8.56,1.02,8,0,1,5.13,7.82,5,Alphabets Colors Arithmetic Objects Emotions Sound Actions
8.35,2,2.71,5.84,9,5.65,2,5.29,5.84,10, Colors Digits Arithmetic Objects Emotions Sound Communication
7.06,3.93,3.6,7,4,6,0.74,0.05,9,5.13, Colors Digits Shapes Emotions Sound Actions
5,0,0,3.64,8,0.32,0.36,3,2,5.84,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication Actions
1,3.9,0,6,8.96,2.34,6.54,8,7.89,1.59,Alphabets Colors Digits Objects Actions
0,1,6.29,5.63,0,0,4.52,5.5,4.44,1.99,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication Actions
0,0.87,8,8,8.58,2.94,0,2.68,1.8,4,Alphabets Colors Objects Emotions Sound Communication Actions
7.08,0,1.02,6.59,0,5,5.36,8,6.63,2.44, Colors Digits Shapes Objects Emotions Actions
7.7,1.74,6.47,3.17,1,8,0.59,10,2,8, Colors Arithmetic Shapes Emotions Communication
7.87,0,3.22,5,0,0,1.35,6,4.92,6.21, Colors Digits Arithmetic Shapes Objects Emotions Communication
5.19,3.89,2,8,4.72,1,6,7.76,1,3,Alphabets Colors Digits Shapes Objects Communication Actions
10,7,0,8.61,0,0,7.29,9,8,0, Digits Shapes Objects Actions
3.25,7.39,5.34,4,6.77,0,0,6,1.39,8,Alphabets Digits Arithmetic Objects Emotions Communication
3.8,0,5.12,2,3.08,6.55,0,2.1,3,1.81,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
0.23,5,0,0,0,3.34,1.82,2.87,6.42,4.17,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Actions
2.4,6.71,7.45,0,8,0,9.15,10,1.96,4.92,Alphabets Arithmetic Objects Communication Actions
8,1.45,0,2,10,5,1.24,0,8,3.53, Colors Digits Arithmetic Objects Emotions Sound Actions
1.78,2.35,0.36,1.22,4.13,6,4.17,1.71,2,0,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
0.37,7.87,0,0.12,1,5,3,2,9,9,Alphabets Digits Arithmetic Shapes Objects Emotions Sound
0,0.98,7.86,1.57,0,8,6.55,6,9.93,3.9,Alphabets Colors Arithmetic Shapes Actions
8.66,0,3.3,1.7,5.24,6,0,5.54,5.39,1, Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
1,1,4,3.17,8.18,4,1,3,6.43,0,Alphabets Colors Digits Arithmetic Objects Emotions Sound Actions
7.64,0,1,0,0,6.51,9,2.9,5.82,4, Colors Digits Arithmetic Shapes Sound Communication Actions
10,2.48,0.54,6.71,2.91,6.98,4.63,6,3.64,5.91, Colors Digits Shapes Emotions Communication Actions
0,2.47,0.93,2.38,4.61,7.4,3.96,8,6.88,2,Alphabets Colors Digits Arithmetic Shapes Emotions Actions
5.43,0,5.91,3.21,0.51,2.67,7.15,4.95,0,9.05,Alphabets Colors Digits Arithmetic Shapes Objects Sound Communication
0,8,5,0,6,0,2,2.09,0,0,Alphabets Digits Arithmetic Objects Emotions Sound Communication Actions
0.9,9.59,5.69,0,7.67,0,1,7,3.91,8.66,Alphabets Digits Arithmetic Objects Emotions Communication
0.55,0,7.03,8.55,6.92,6,7.02,10,4.94,3.72,Alphabets Colors Communication Actions
2.11,2,1.86,8.21,0,3.17,5,6.73,1,2.46,Alphabets Colors Digits Shapes Objects Emotions Communication Actions
7.81,4,1,4.47,7.36,1.94,3.93,6.16,2.22,5.77, Colors Digits Arithmetic Objects Emotions Communication Actions
4,4.83,8,0.13,4,0,9,4.74,0,0.03,Alphabets Colors Arithmetic Shapes Objects Sound Communication Actions
4.66,6.04,0.58,2.76,7,8.92,1.34,0,0.87,2.99,Alphabets Digits Arithmetic Emotions Sound Communication Actions
3.5,1,2,3,0,6.09,8.05,7.97,0,3.75,Alphabets Colors Digits Arithmetic Shapes Communication Actions
0.9,4.66,1.58,0,6.88,1.88,0,2.9,1,3.93,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication Actions
3.21,2.37,6,6.62,6.01,5,4.71,2,7.2,0,Alphabets Colors Objects Emotions Sound Actions
7,6.62,6.54,6,3.73,6,9,4.66,4,2, Shapes Sound Communication Actions
0,1.02,7.97,1.87,9.63,10,6,0,0,5,Alphabets Colors Arithmetic Sound Communication Actions
0,6.07,3,4.88,0,8.61,3.98,7.88,2.4,4.82,Alphabets Digits Arithmetic Shapes Emotions Communication Actions
5.18,5.93,0,7,4.47,9.85,0.2,0,2.74,8.01,Alphabets Colors Digits Shapes Emotions Sound Communication
7.16,1.31,5.95,6.88,3.31,9,10,1,0,9.05, Colors Digits Shapes Sound Communication
0,7,0,6,0.86,9,7,3.92,1.26,6.35,Alphabets Digits Shapes Sound Communication
4.8,0,6,8.29,3.55,1,6.78,6.75,8.37,5.92,Alphabets Colors Shapes Objects Actions
0,5.15,5.73,0.84,7.65,7.26,4.06,5.89,5.89,0,Alphabets Colors Digits Arithmetic Emotions Sound Communication Actions
3,2.36,0.85,7,0.26,9.55,10,7.26,2.65,5.6,Alphabets Colors Digits Shapes Communication Actions
6.62,0,0,8.68,8.37,0.07,6,6.85,5,0, Colors Digits Objects Communication Actions
8.52,1.21,7,8.34,5,0,4,5.25,0,1.88, Colors Shapes Objects Emotions Sound Communication Actions
0,2.96,6,1.74,3.19,4,0,2,8,0,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Actions
8.88,4.09,0,0,1.18,6,0,0.39,0.23,3, Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
5.09,0.83,5,5.26,3.82,0,7,1.81,5,7,Alphabets Colors Digits Arithmetic Shapes Objects Sound Communication
5,5.23,3.87,0,0.49,8.37,6,0.21,1.23,1.52,Alphabets Colors Digits Arithmetic Shapes Sound Communication Actions
3,6.16,0.34,5.53,3,5.9,0,1.62,4,0,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
6.38,0,8.21,1,10,1.27,8,2.28,8.13,7.2, Colors Arithmetic Objects Sound
0,5.3,5.8,5.35,0,8.93,3.82,0,8,3,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Actions
0,0.37,0,2,1.88,3.98,0,5.71,0,7.84,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication
0,9,0,4.88,1.82,1.04,4.54,0,5,6.05,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Communication
2.83,7.67,3,5.08,2,3.97,1,5,6,0.83,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Actions
8.38,9,0,9.51,7.93,7.36,6.03,3.68,3,4.26, Digits Sound Communication Actions
3.13,5,5,10,0,6.98,3.29,9,8.2,5.65,Alphabets Colors Digits Shapes Emotions Actions
7.43,8.41,0,2.63,4,0,4.89,6.67,5.01,1, Digits Arithmetic Shapes Objects Emotions Communication Actions
7,8,0,0,5.98,3,1.66,0,5,8.27, Digits Arithmetic Shapes Objects Emotions Sound Communication
4,7.43,4.94,9.83,0,1.22,7.84,3.05,9.21,0.03,Alphabets Digits Shapes Objects Sound Actions
0,8.1,8.86,0,0.77,0,1,5.44,0,4,Alphabets Arithmetic Shapes Objects Emotions Sound Communication Actions
2,3.7,0.27,6,6.62,7.52,1.66,5.46,4.17,0,Alphabets Colors Digits Emotions Sound Communication Actions
0.65,2.48,2.81,2.12,8.11,0,3,4,0,7.13,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication
4.78,1.79,0,10,3.55,8.32,2,0,3,4.74,Alphabets Colors Digits Shapes Emotions Sound Communication Actions
0,5.64,6.84,8.87,7.06,4.19,0,1.65,5.68,0.56,Alphabets Colors Objects Emotions Sound Communication Actions
4.93,2.86,5.06,4,6.17,5.48,0.81,1.69,9.92,6.47,Alphabets Colors Digits Arithmetic Objects Emotions Sound
6.86,0,6,4,1.86,0,7.59,0.87,7.21,1.13, Colors Arithmetic Shapes Objects Sound Actions
6.88,0.28,3.89,3,2.92,9,6,9,2,6.48, Colors Digits Arithmetic Shapes Communication
5.62,2,6.52,0,0,2.8,1.57,0,0.21,7.87,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication
0,0,3.17,4.11,6.32,0,9,1.62,3.86,5.93,Alphabets Colors Digits Arithmetic Objects Sound Communication Actions
4,1.46,0,4,3,0,3,2.79,4,5.25,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
3,5.23,2.46,3.88,0,1,0,0,3.06,6.59,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication
10,4.78,5.63,0,0.21,1.27,0.07,3.11,0.92,10, Colors Digits Arithmetic Shapes Objects Emotions Sound Communication
8,6.2,3.76,8.9,0.29,3.25,0,6.92,3.17,9, Digits Shapes Objects Emotions Communication
3.57,1.94,0,5,4.22,5.16,1,6.18,7.11,2.2,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Actions
0,7,6.91,0,3.72,0,0,7,2.86,1.36,Alphabets Arithmetic Shapes Objects Emotions Communication Actions
2.88,8,2.57,0,4.68,0,0.39,0,1,4.24,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
8,5.28,0,0,0.18,9.84,0,6.27,5.36,1.05, Colors Digits Arithmetic Shapes Emotions Communication Actions
0,0,5.88,3.86,0.2,0,4,0,0,1.06,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
10,3.18,6,3.05,1.79,2.34,1.38,10,7.62,3, Colors Arithmetic Shapes Objects Emotions Actions
1,0.09,5.58,5,0.6,0,6,0,3.4,2,Alphabets Colors Digits Arithmetic Shapes Objects Sound Communication Actions
3.69,0,2,8.95,8,2.04,7,3.34,0,3.04,Alphabets Colors Digits Objects Sound Communication Actions
0,0.45,3.16,0,1,6.85,3.59,2,6,9.72,Alphabets Colors Digits Arithmetic Shapes Emotions Sound
5,4.06,4.37,0,0,0,6.63,7.47,0,4.32,Alphabets Colors Digits Arithmetic Shapes Objects Communication Actions
9,10,2,9,4,9.11,0,8.37,3.31,2.77, Digits Shapes Emotions Communication Actions
1,5.03,7.65,10,6,8.39,10,1,3.15,0.6,Alphabets Colors Sound Communication Actions
4.04,8.64,6.06,0.37,6,9,1,2,9.81,0.63,Alphabets Arithmetic Emotions Sound Actions
0.32,1.67,0,3.37,6.28,5.57,3,0,2.07,3.1,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication Actions
9,10,4,1.94,1.59,4.9,5.45,5.48,6.17,5.41, Digits Arithmetic Shapes Objects Emotions Sound Actions
0.81,1.14,5.16,0.87,6.97,3.19,0.13,6,8.49,0.14,Alphabets Colors Digits Arithmetic Objects Emotions Actions
3.25,4,2,4.56,8,0,8,8.53,2,0,Alphabets Colors Digits Arithmetic Objects Communication Actions
4.88,0,7.04,2.99,4.74,8.68,1,5.28,1.81,0.48,Alphabets Colors Arithmetic Shapes Emotions Sound Communication Actions
8.42,0,5,0,0,6.59,0,0,4.05,7, Colors Digits Arithmetic Shapes Emotions Sound Communication
6.43,3.8,5.9,1.62,6.1,1.27,0,0,0,0, Colors Digits Arithmetic Objects Emotions Sound Communication Actions
1,0,7.01,2.38,6.07,0.64,1.28,0.04,1.35,0,Alphabets Colors Arithmetic Objects Emotions Sound Communication Actions
9,10,0,3,4.44,2,1,8.82,6.73,0, Digits Arithmetic Shapes Objects Emotions Actions
5,0,4,4,2.97,8,8,0,0,9,Alphabets Colors Digits Arithmetic Shapes Sound Communication
0,0.64,3.29,8.68,4.65,8,8.17,3.07,0,8.62,Alphabets Colors Digits Shapes Sound Communication
0,5.34,4.92,4,4,6,4.91,8.45,1.99,7.91,Alphabets Colors Digits Arithmetic Shapes Emotions Communication
5.29,10,5.7,3.49,4,0,6,5.62,1.03,1,Alphabets Digits Arithmetic Shapes Objects Sound Communication Actions
2.3,3.12,2.39,5.27,7,1.99,6.37,0,7,2.86,Alphabets Colors Digits Arithmetic Objects Sound Actions
6.32,1,0,2.61,10,7.96,6,3,10,7, Colors Digits Arithmetic Sound
6.88,0.29,2.98,0,6.29,6.04,6,8,4,6.34, Colors Digits Arithmetic Communication
1.56,6,7,6,6.14,3,7.26,0,0.25,0,Alphabets Objects Sound Communication Actions
1.23,0,6,5.33,2.21,4.72,0,4.74,4,6,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication
5.63,3.35,0,6,8,8,4.3,8,2.34,7.62,Alphabets Colors Digits Emotions Communication
0.42,4.77,7,2,10,5.69,0,0,0,0,Alphabets Colors Arithmetic Objects Emotions Sound Communication Actions
3.98,7.4,0,2,8,6.21,3,0,7,0.19,Alphabets Digits Arithmetic Emotions Sound Actions
3.43,0.49,0,8.52,6,3.65,0,3.12,3.21,5.18,Alphabets Colors Digits Objects Emotions Sound Communication Actions
6,0,5.99,0,2,5.8,1.03,3.54,8.58,1.21, Colors Digits Arithmetic Shapes Objects Emotions Sound Actions
8.26,8.57,1,1.99,2.73,0,8,6.47,6.95,1.98, Digits Arithmetic Shapes Objects Actions
0,2,7,2.13,5.08,2.56,1,1,8.74,1,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Actions
